road,segment_name,st_a,st_b
AYER RAJAH EXPRESSWAY,TUAS VIADUCT to JALAN AHMAD IBRAHIM / TUAS ROAD,S115,S44
AYER RAJAH EXPRESSWAY,JALAN AHMAD IBRAHIM / TUAS ROAD to JALAN BUROH / JURONG PIER ROAD,S44,S33
AYER RAJAH EXPRESSWAY,JALAN BUROH / JURONG PIER ROAD to PENJURU ROAD,S33,S35
AYER RAJAH EXPRESSWAY,PENJURU ROAD to JURONG TOWN HALL ROAD,S35,S35
AYER RAJAH EXPRESSWAY,JURONG TOWN HALL ROAD to CLEMENTI AVENUE 2,S35,S230
AYER RAJAH EXPRESSWAY,CLEMENTI AVENUE 2 to CLEMENTI ROAD,S230,S230
AYER RAJAH EXPRESSWAY,CLEMENTI ROAD to NORTH BUONA VISTA ROAD / SOUTH BUONA VISTA ROAD,S230,S71
AYER RAJAH EXPRESSWAY,NORTH BUONA VISTA ROAD / SOUTH BUONA VISTA ROAD to NORMANTON PARK,S71,S92
AYER RAJAH EXPRESSWAY,NORMANTON PARK to ALEXANDRA ROAD,S92,S226
AYER RAJAH EXPRESSWAY,ALEXANDRA ROAD to LOWER DELTA ROAD,S226,S222
AYER RAJAH EXPRESSWAY,LOWER DELTA ROAD to KEPPEL ROAD,S222,S222
BUKIT TIMAH EXPRESSWAY,WOODLANDS CENTRE ROAD to WOODLANDS AVENUE 3,S210,S210
BUKIT TIMAH EXPRESSWAY,WOODLANDS AVENUE 3 to MANDAI ROAD,S210,S40
BUKIT TIMAH EXPRESSWAY,MANDAI ROAD to BUKIT PANJANG ROAD,S40,S64
BUKIT TIMAH EXPRESSWAY,BUKIT PANJANG ROAD to DAIRY FARM ROAD,S64,S64
BUKIT TIMAH EXPRESSWAY,DAIRY FARM ROAD to ADMIRALTY ROAD WEST,S64,S104
CENTRAL EXPRESSWAY,JALAN BUKIT MERAH to CHIN SWEE ROAD / OUTRAM ROAD,S222,S222
CENTRAL EXPRESSWAY,CHIN SWEE ROAD / OUTRAM ROAD to CAIRNHILL CIRCLE,S222,S111
CENTRAL EXPRESSWAY,CAIRNHILL CIRCLE to KRAMAT ROAD,S111,S79
CENTRAL EXPRESSWAY,KRAMAT ROAD to MERCHANT ROAD / UPPER CROSS STREET,S79,S79
CENTRAL EXPRESSWAY,MERCHANT ROAD / UPPER CROSS STREET to BUKIT TIMAH ROAD,S79,S111
CENTRAL EXPRESSWAY,BUKIT TIMAH ROAD to MOULMEIN ROAD,S111,S123
CENTRAL EXPRESSWAY,MOULMEIN ROAD to BALESTIER ROAD,S123,S123
CENTRAL EXPRESSWAY,BALESTIER ROAD to ANG MO KIO AVENUE 1,S123,S216
CENTRAL EXPRESSWAY,ANG MO KIO AVENUE 1 to ANG MO KIO AVENUE 5,S216,S109
CENTRAL EXPRESSWAY,ANG MO KIO AVENUE 5 to BRADDELL ROAD,S109,S217
CENTRAL EXPRESSWAY,BRADDELL ROAD to ANG MO KIO AVENUE 3,S217,S216
EAST COAST PARKWAY,OPHIR ROAD to EAST COAST PARKWAY,S119,S108
EAST COAST PARKWAY,EAST COAST PARKWAY to EAST COAST PARK SERVICE ROAD / FORT ROAD,S108,S214
EAST COAST PARKWAY,EAST COAST PARK SERVICE ROAD / FORT ROAD to TANJONG KATONG ROAD SOUTH,S214,S78
EAST COAST PARKWAY,TANJONG KATONG ROAD SOUTH to STILL ROAD SOUTH,S78,S113
EAST COAST PARKWAY,STILL ROAD SOUTH to MARINE VISTA,S113,S113
EAST COAST PARKWAY,MARINE VISTA to SIGLAP LINK,S113,S113
EAST COAST PARKWAY,SIGLAP LINK to BEDOK SOUTH AVENUE 1,S113,S113
EAST COAST PARKWAY,BEDOK SOUTH AVENUE 1 to BAYSHORE ROAD,S113,S107
EAST COAST PARKWAY,BAYSHORE ROAD to TANAH MERAH COAST ROAD / XILIN AVENUE,S107,S107
EAST COAST PARKWAY,TANAH MERAH COAST ROAD / XILIN AVENUE to CHANGI COAST ROAD,S107,S107
KALLANG PAYA LEBAR EXPRESSWAY,NICOLL HIGHWAY to SIMS WAY,S119,S215
KALLANG PAYA LEBAR EXPRESSWAY,SIMS WAY to AIRPORT ROAD,S215,S43
KALLANG PAYA LEBAR EXPRESSWAY,AIRPORT ROAD to HOUGANG AVENUE 10 / UPPER SERANGOON ROAD,S43,S221
KALLANG PAYA LEBAR EXPRESSWAY,HOUGANG AVENUE 10 / UPPER SERANGOON ROAD to TAMPINES ROAD,S221,S06
KALLANG PAYA LEBAR EXPRESSWAY,TAMPINES ROAD to BUANGKOK EAST DRIVE,S06,S220
KRANJI EXPRESSWAY,BRICKLAND ROAD / SUNGEI TENGAH ROAD to CHOA CHU KANG DRIVE / CHOA CHU KANG WAY,S218,S64
KRANJI EXPRESSWAY,CHOA CHU KANG DRIVE / CHOA CHU KANG WAY to WOODLANDS ROAD,S64,S64
KRANJI EXPRESSWAY,WOODLANDS ROAD to BKE(SLE) TO WOODLANDS ROAD / SENJA FLYOVER,S64,S64
KRANJI EXPRESSWAY,BKE(SLE) TO WOODLANDS ROAD / SENJA FLYOVER to BKE (PIE) / BKE (SLE) / TO PIE (TUAS),S64,S64
PAN ISLAND EXPRESSWAY,PASIR LABA ROAD / UPPER JURONG ROAD to PIONEER ROAD NORTH,S44,S44
PAN ISLAND EXPRESSWAY,PIONEER ROAD NORTH to JALAN BAHAR,S44,S228
PAN ISLAND EXPRESSWAY,JALAN BAHAR to JURONG WEST AVENUE 2,S228,S229
PAN ISLAND EXPRESSWAY,JURONG WEST AVENUE 2 to JURONG CANAL DRIVE / TENGAH BOULEVARD,S229,S229
PAN ISLAND EXPRESSWAY,JURONG CANAL DRIVE / TENGAH BOULEVARD to BUKIT BATOK ROAD,S229,S229
PAN ISLAND EXPRESSWAY,BUKIT BATOK ROAD to TOH GUAN ROAD,S229,S35
PAN ISLAND EXPRESSWAY,TOH GUAN ROAD to BUKIT BATOK EAST AVENUE 3 / TOH TUCK AVENUE,S35,S35
PAN ISLAND EXPRESSWAY,BUKIT BATOK EAST AVENUE 3 / TOH TUCK AVENUE to CLEMENTI AVENUE 6,S35,S201
PAN ISLAND EXPRESSWAY,CLEMENTI AVENUE 6 to JALAN ANAK BUKIT,S201,S50
PAN ISLAND EXPRESSWAY,JALAN ANAK BUKIT to ENG NEO AVENUE,S50,S213
PAN ISLAND EXPRESSWAY,ENG NEO AVENUE to ADAM ROAD,S213,S213
PAN ISLAND EXPRESSWAY,ADAM ROAD to MOUNT PLEASANT ROAD,S213,S90
